DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
PT:POPULATION_CLOCK(2.0.0),1,2,Q,2022-Q3,75363,PSNS,,
PT:POPULATION_CLOCK(2.0.0),5,2,Q,2022-Q3,-47524,PSNS,,
PT:POPULATION_CLOCK(2.0.0),4,5,Q,2022-Q3,35684,PSNS,,
PT:POPULATION_CLOCK(2.0.0),4,6,Q,2022-Q3,3836,PSNS,,
PT:POPULATION_CLOCK(2.0.0),4,7,Q,2022-Q3,3783,PSNS,,
PT:POPULATION_CLOCK(2.0.0),3,8,Q,2022-Q3,8205,PSNS,,
PT:POPULATION_CLOCK(2.0.0),1,1,Q,2022-Q3,96974,PSNS,,
PT:POPULATION_CLOCK(2.0.0),5,3,Q,2022-Q3,7383,PSNS,,
PT:POPULATION_CLOCK(2.0.0),9,4,Q,2022-Q3,1779103,PSNS,,
PT:POPULATION_CLOCK(2.0.0),8,7,Q,2022-Q3,-2932,PSNS,,
PT:POPULATION_CLOCK(2.0.0),8,8,Q,2022-Q3,-492,PSNS,,
PT:POPULATION_CLOCK(2.0.0),6,AUS,Q,2022-Q3,457344,PSNS,,
